1330000	广西	南宁
1330002	重庆	重庆
1330003	重庆	重庆
1330010	北京	北京
1330011	北京	北京
1330018	上海	上海
1330019	上海	上海
1330033	天津	天津
1330034	天津	天津
1330050	上海	上海
1330051	上海	上海
1330052	上海	上海
1330053	上海	上海
1330054	上海	上海
1330063	上海	上海
1330064	上海	上海
1330066	上海	上海
1330080	上海	上海
1330081	上海	上海
1330082	上海	上海
1330083	上海	上海
1330084	上海	上海
1330085	上海	上海
1330086	上海	上海
1330087	上海	上海
1330088	上海	上海
1330089	上海	上海
1330098	上海	上海
1330100	北京	北京
1330101	北京	北京
1330102	北京	北京
1330103	北京	北京
1330104	北京	北京
1330105	北京	北京
1330106	北京	北京
1330107	北京	北京
1330108	北京	北京
1330109	北京	北京
1330110	北京	北京
1330111	北京	北京
1330112	北京	北京
1330113	北京	北京
1330114	北京	北京
1330115	北京	北京
1330116	北京	北京
1330117	北京	北京
1330118	北京	北京
1330119	北京	北京
1330120	北京	北京
1330121	北京	北京
1330122	北京	北京
1330123	北京	北京
1330124	北京	北京
1330125	北京	北京
1330126	北京	北京
1330127	北京	北京
1330128	北京	北京
1330129	北京	北京
1330130	北京	北京
1330131	北京	北京
1330132	北京	北京
1330133	北京	北京
1330134	北京	北京
1330135	北京	北京
1330136	北京	北京
1330137	北京	北京
1330138	北京	北京
1330139	北京	北京
1330140	江苏	淮安
1330141	江苏	盐城
1330142	江苏	泰州
1330143	江苏	泰州
1330144	江苏	扬州
1330145	江苏	扬州
1330146	江苏	南通
1330147	江苏	南通
1330148	江苏	南通
1330149	江苏	常州
1330150	江苏	常州
1330151	江苏	无锡
1330152	江苏	无锡
1330153	江苏	无锡
1330154	江苏	苏州
1330155	江苏	苏州
1330156	江苏	苏州
1330157	江苏	苏州
1330158	江苏	南京
1330159	江苏	南京
1330160	上海	上海
1330161	上海	上海
1330162	上海	上海
1330163	上海	上海
1330164	上海	上海
1330165	上海	上海
1330166	上海	上海
1330167	上海	上海
1330168	上海	上海
1330169	上海	上海
1330170	上海	上海
1330171	上海	上海
1330172	上海	上海
1330173	上海	上海
1330174	上海	上海
1330175	上海	上海
1330176	上海	上海
1330177	上海	上海
1330178	上海	上海
1330179	上海	上海
1330180	上海	上海
1330181	上海	上海
1330182	上海	上海
1330183	上海	上海
1330184	上海	上海
1330185	上海	上海
1330186	上海	上海
1330187	上海	上海
1330188	上海	上海
1330189	上海	上海
1330190	上海	上海
1330191	上海	上海
1330192	上海	上海
1330193	上海	上海
1330194	上海	上海
1330195	上海	上海
1330196	上海	上海
1330197	上海	上海
1330198	上海	上海
1330199	上海	上海
1330200	天津	天津
